id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,jumlah_ritasi_sampah,satuan,tahun
226,32,JAWA BARAT,3277,KOTA CIMAHI,4,APRIL,1731,RIT,2020
227,32,JAWA BARAT,3277,KOTA CIMAHI,5,MEI,1756,RIT,2020
228,32,JAWA BARAT,3277,KOTA CIMAHI,6,JUNI,1787,RIT,2020
229,32,JAWA BARAT,3277,KOTA CIMAHI,7,JULI,1816,RIT,2020
230,32,JAWA BARAT,3277,KOTA CIMAHI,8,AGUSTUS,1772,RIT,2020
231,32,JAWA BARAT,3277,KOTA CIMAHI,9,SEPTEMBER,1714,RIT,2020
232,32,JAWA BARAT,3277,KOTA CIMAHI,10,OKTOBER,1794,RIT,2020
233,32,JAWA BARAT,3277,KOTA CIMAHI,11,NOVEMBER,1809,RIT,2020
234,32,JAWA BARAT,3277,KOTA CIMAHI,12,DESEMBER,1838,RIT,2020
235,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1,JANUARI,1911,RIT,2021
236,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2,FEBRUARI,1803,RIT,2021
237,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,MARET,2049,RIT,2021
238,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4,APRIL,1979,RIT,2021
239,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,MEI,1708,RIT,2021
240,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6,JUNI,1954,RIT,2021
241,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,JULI,2096,RIT,2021
242,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8,AGUSTUS,2007,RIT,2021
243,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,SEPTEMBER,1975,RIT,2021
244,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10,OKTOBER,1896,RIT,2021
245,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,1733,RIT,2021
246,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,2041,RIT,2021
247,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,1499,RIT,2021
248,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,1396,RIT,2021
249,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,1510,RIT,2021
250,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,1466,RIT,2021
251,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,1434,RIT,2021
252,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,1454,RIT,2021
253,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,1429,RIT,2021
254,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,1401,RIT,2021
255,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,1374,RIT,2021
256,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,1406,RIT,2021
257,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,1322,RIT,2021
258,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,1404,RIT,2021
259,32,JAWA BARAT,3273,KOTA BANDUNG,1,JANUARI,8034,RIT,2021
260,32,JAWA BARAT,3273,KOTA BANDUNG,2,FEBRUARI,7238,RIT,2021
261,32,JAWA BARAT,3273,KOTA BANDUNG,3,MARET,7882,RIT,2021
262,32,JAWA BARAT,3273,KOTA BANDUNG,4,APRIL,7661,RIT,2021
263,32,JAWA BARAT,3273,KOTA BANDUNG,5,MEI,7457,RIT,2021
264,32,JAWA BARAT,3273,KOTA BANDUNG,6,JUNI,7472,RIT,2021
265,32,JAWA BARAT,3273,KOTA BANDUNG,7,JULI,7805,RIT,2021
266,32,JAWA BARAT,3273,KOTA BANDUNG,8,AGUSTUS,7820,RIT,2021
267,32,JAWA BARAT,3273,KOTA BANDUNG,9,SEPTEMBER,7644,RIT,2021
268,32,JAWA BARAT,3273,KOTA BANDUNG,10,OKTOBER,7731,RIT,2021
269,32,JAWA BARAT,3273,KOTA BANDUNG,11,NOVEMBER,6200,RIT,2021
270,32,JAWA BARAT,3273,KOTA BANDUNG,12,DESEMBER,6962,RIT,2021
271,32,JAWA BARAT,3277,KOTA CIMAHI,1,JANUARI,1808,RIT,2021
